ts,equity
2025-08-27T14:49:07.165240+00:00,143.28
2025-08-27T14:55:06.486015+00:00,143.25
2025-08-27T15:00:08.081338+00:00,143.21
2025-08-27T15:06:06.063080+00:00,143.19
2025-08-27T15:12:06.378447+00:00,143.36
2025-08-27T15:18:06.359699+00:00,143.40
2025-08-27T15:23:06.046039+00:00,143.37
2025-08-27T15:29:06.055508+00:00,143.27
2025-08-27T15:34:06.080986+00:00,143.21
2025-08-27T15:40:06.567911+00:00,143.29
2025-08-27T15:45:06.562049+00:00,143.36
2025-08-27T16:02:07.685753+00:00,143.60
2025-08-27T16:08:06.179352+00:00,143.46
2025-08-27T16:14:06.069625+00:00,143.31
2025-08-27T16:20:06.490651+00:00,143.60
2025-08-27T16:25:06.547551+00:00,143.46
2025-08-27T16:31:06.111267+00:00,143.14
2025-08-27T16:37:06.106208+00:00,143.12
2025-08-27T16:42:06.384864+00:00,143.26
2025-08-27T16:47:06.129315+00:00,143.31
2025-08-27T16:52:06.112922+00:00,143.56
2025-08-27T16:57:06.196935+00:00,143.42
2025-08-27T17:03:07.528121+00:00,143.26
2025-08-27T17:17:07.079951+00:00,143.30
2025-08-27T17:22:06.156283+00:00,143.52
2025-08-27T17:28:06.317496+00:00,143.59
2025-08-27T17:34:06.123614+00:00,143.59
2025-08-27T17:40:06.649637+00:00,143.66
2025-08-27T17:46:06.333826+00:00,143.89
2025-08-27T17:51:06.125143+00:00,143.72
2025-08-27T17:57:06.134620+00:00,143.71
2025-08-27T18:02:06.084928+00:00,143.68
2025-08-27T18:17:07.110034+00:00,144.01
2025-08-27T18:23:06.058031+00:00,143.74
2025-08-27T18:28:06.262897+00:00,143.74
2025-08-27T18:34:06.146218+00:00,143.71
2025-08-27T18:40:06.499951+00:00,143.80
2025-08-27T18:45:06.712372+00:00,143.73
2025-08-27T18:51:06.260794+00:00,143.60
2025-08-27T18:57:06.175868+00:00,143.29
2025-08-27T19:12:07.808359+00:00,142.87
2025-08-27T19:18:06.172283+00:00,142.75
2025-08-27T19:23:06.205654+00:00,142.88
2025-08-27T19:29:06.251998+00:00,142.72
2025-08-27T19:34:06.112807+00:00,142.94
2025-08-27T19:40:06.554548+00:00,142.81
2025-08-27T19:45:06.619385+00:00,142.73
2025-08-27T19:50:06.741203+00:00,142.71
2025-08-27T19:56:06.284639+00:00,142.71
2025-08-27T20:02:06.365018+00:00,142.48
2025-08-27T20:08:06.111293+00:00,142.20
2025-08-27T20:13:07.064757+00:00,142.08
2025-08-27T20:19:06.177584+00:00,142.49
2025-08-27T20:25:06.761465+00:00,142.46
2025-08-27T20:31:06.184936+00:00,142.74
2025-08-27T20:36:06.304402+00:00,142.84
2025-08-27T20:42:06.352338+00:00,142.88
2025-08-27T20:47:06.360291+00:00,142.92
2025-08-27T20:53:06.335650+00:00,142.79
2025-08-27T20:58:06.365461+00:00,143.00
2025-08-27T21:04:06.206542+00:00,143.01
2025-08-27T21:17:07.494172+00:00,142.98
2025-08-27T21:23:06.286978+00:00,142.64
2025-08-27T21:28:06.225591+00:00,142.64
2025-08-27T21:33:06.187730+00:00,142.57
2025-08-27T21:39:06.491203+00:00,142.32
2025-08-27T21:45:06.918813+00:00,142.52
2025-08-27T21:50:06.675761+00:00,142.42
2025-08-27T21:56:06.588241+00:00,142.33
2025-08-27T22:12:07.802529+00:00,142.07
2025-08-27T22:17:06.175208+00:00,141.99
2025-08-27T22:23:06.230439+00:00,142.15
2025-08-27T22:29:06.193701+00:00,142.04
2025-08-27T22:35:06.684971+00:00,142.21
2025-08-27T22:41:06.176277+00:00,142.26
2025-08-27T22:46:06.281207+00:00,142.33
2025-08-27T22:51:06.229166+00:00,142.22
2025-08-27T22:57:06.215245+00:00,142.07
2025-08-27T23:03:06.542408+00:00,142.16
2025-08-27T23:09:06.156315+00:00,142.29
2025-08-27T23:14:06.203532+00:00,142.18
2025-08-27T23:20:06.619411+00:00,142.11
2025-08-27T23:25:06.653558+00:00,142.04
2025-08-27T23:31:06.373384+00:00,142.15
2025-08-27T23:36:06.595896+00:00,142.02
2025-08-27T23:42:06.222606+00:00,141.82
2025-08-27T23:48:06.230468+00:00,141.76
2025-08-27T23:53:06.249471+00:00,141.87
2025-08-27T23:59:06.415987+00:00,141.48
2025-08-28T00:16:07.947918+00:00,141.81
2025-08-28T00:22:06.175747+00:00,141.61
2025-08-28T00:28:06.156650+00:00,141.62
2025-08-28T00:34:06.269269+00:00,141.49
2025-08-28T00:40:06.729362+00:00,141.20
2025-08-28T00:45:06.600606+00:00,141.32
2025-08-28T00:51:06.188613+00:00,141.35
2025-08-28T00:56:06.198098+00:00,141.25
2025-08-28T01:01:06.159228+00:00,141.35
2025-08-28T01:07:06.244114+00:00,141.30
2025-08-28T01:12:06.268942+00:00,141.32
2025-08-28T01:18:06.189125+00:00,141.36
2025-08-28T01:23:06.150491+00:00,141.40
2025-08-28T01:29:06.178955+00:00,141.36
2025-08-28T01:35:06.598437+00:00,141.45
2025-08-28T01:41:06.136770+00:00,141.43
2025-08-28T01:46:06.415094+00:00,141.38
2025-08-28T01:52:06.224670+00:00,141.51
2025-08-28T02:22:10.876361+00:00,141.56
2025-08-28T02:28:06.178758+00:00,141.81
2025-08-28T02:34:06.171858+00:00,141.75
2025-08-28T02:40:06.647218+00:00,141.64
2025-08-28T02:46:06.270695+00:00,141.58
2025-08-28T02:51:06.398863+00:00,141.75
2025-08-28T02:56:06.223938+00:00,141.60
2025-08-28T03:02:06.103307+00:00,141.57
2025-08-28T04:07:18.192211+00:00,142.00
2025-08-28T04:13:06.144444+00:00,142.15
2025-08-28T04:18:06.200773+00:00,142.15
2025-08-28T04:24:06.173880+00:00,142.11
2025-08-28T04:30:06.660052+00:00,142.28
2025-08-28T04:35:06.819194+00:00,142.37
2025-08-28T04:41:06.140637+00:00,142.21
2025-08-28T04:46:06.309587+00:00,142.12
2025-08-28T04:52:06.203902+00:00,142.27
2025-08-28T04:57:06.141319+00:00,142.34
2025-08-28T05:02:06.434398+00:00,142.38
2025-08-28T05:07:06.129633+00:00,141.99
2025-08-28T05:12:06.119859+00:00,141.96
2025-08-28T05:18:07.595644+00:00,141.97
2025-08-28T05:24:06.101608+00:00,141.90
2025-08-28T05:30:06.641284+00:00,141.98
2025-08-28T05:35:06.707035+00:00,142.02
2025-08-28T05:41:06.127748+00:00,142.04
2025-08-28T05:47:06.428350+00:00,141.85
2025-08-28T05:53:06.211932+00:00,141.77
2025-08-28T05:58:06.173961+00:00,141.99
2025-08-28T06:04:06.053697+00:00,141.82
2025-08-28T06:17:07.116024+00:00,141.53
2025-08-28T06:23:06.087724+00:00,141.70
2025-08-28T06:29:06.094754+00:00,141.75
2025-08-28T06:35:06.327990+00:00,141.69
2025-08-28T06:40:06.664376+00:00,141.76
2025-08-28T06:46:06.319987+00:00,141.82
2025-08-28T06:51:06.246984+00:00,141.81
2025-08-28T06:57:06.208297+00:00,141.94
2025-08-28T07:03:06.079680+00:00,141.96
2025-08-28T07:17:07.188395+00:00,142.03
2025-08-28T07:23:06.185583+00:00,141.85
2025-08-28T07:29:06.126618+00:00,141.87
2025-08-28T07:35:06.655163+00:00,141.79
2025-08-28T07:41:06.127916+00:00,141.87
2025-08-28T07:46:06.187980+00:00,141.92
2025-08-28T07:51:06.120954+00:00,141.97
2025-08-28T07:57:06.133999+00:00,142.16
2025-08-28T08:02:06.096367+00:00,142.93
2025-08-28T08:17:07.100081+00:00,143.09
2025-08-28T08:22:06.351502+00:00,142.32
2025-08-28T08:27:06.133727+00:00,142.32
2025-08-28T08:33:06.382056+00:00,142.32
2025-08-28T08:38:06.160891+00:00,142.32
2025-08-28T08:44:06.155989+00:00,142.32
2025-08-28T08:50:06.641686+00:00,142.30
2025-08-28T08:56:06.435123+00:00,142.28
2025-08-28T09:02:06.273729+00:00,142.32
2025-08-28T09:17:07.251731+00:00,142.20
2025-08-28T09:22:06.200616+00:00,142.22
2025-08-28T09:28:06.131649+00:00,142.25
2025-08-28T09:34:06.172282+00:00,142.20
2025-08-28T09:39:06.184994+00:00,142.23
2025-08-28T09:45:06.843038+00:00,142.14
2025-08-28T09:51:06.285100+00:00,141.99
2025-08-28T09:56:06.374398+00:00,141.92
2025-08-28T10:02:06.083880+00:00,141.87
2025-08-28T10:17:07.280215+00:00,142.06
2025-08-28T10:22:06.124992+00:00,141.99
2025-08-28T10:28:06.146566+00:00,142.10
2025-08-28T10:34:06.123650+00:00,142.26
2025-08-28T10:39:06.121323+00:00,142.46
2025-08-28T10:45:06.959512+00:00,142.30
2025-08-28T10:51:06.154839+00:00,142.26
2025-08-28T10:56:06.137377+00:00,142.41
2025-08-28T11:02:06.068514+00:00,142.39
2025-08-28T11:17:07.633677+00:00,142.24
2025-08-28T11:22:06.220014+00:00,142.28
2025-08-28T11:28:06.135055+00:00,142.34
2025-08-28T11:33:06.140298+00:00,142.40
2025-08-28T11:39:06.157176+00:00,142.36
2025-08-28T11:44:06.807403+00:00,142.24
2025-08-28T11:50:06.697911+00:00,142.19
2025-08-28T11:55:06.681767+00:00,142.26
2025-08-28T12:00:07.660596+00:00,142.32
2025-08-28T12:17:07.075523+00:00,142.17
2025-08-28T12:23:06.121456+00:00,142.22
2025-08-28T12:29:06.133252+00:00,142.08
2025-08-28T12:35:06.687799+00:00,142.34
2025-08-28T12:40:06.759328+00:00,142.36
2025-08-28T12:46:06.204586+00:00,142.39
2025-08-28T12:52:06.221225+00:00,142.53
2025-08-28T12:58:06.164551+00:00,142.37
2025-08-28T13:03:06.143970+00:00,142.22
2025-08-28T13:17:07.144912+00:00,142.54
2025-08-28T13:22:06.173128+00:00,142.95
2025-08-28T13:28:06.192932+00:00,142.82
2025-08-28T13:42:07.132601+00:00,142.82
2025-08-28T13:48:06.247685+00:00,142.60
2025-08-28T14:05:08.035157+00:00,142.34
2025-08-28T14:10:07.156336+00:00,142.55
2025-08-28T14:26:07.067904+00:00,142.48
2025-08-28T14:32:06.177638+00:00,142.22
2025-08-28T14:37:06.556959+00:00,142.36
2025-08-28T14:50:07.492132+00:00,142.72
2025-08-28T14:56:06.166799+00:00,142.94
2025-08-28T15:02:07.074776+00:00,143.02
2025-08-28T15:08:06.101337+00:00,142.77
2025-08-28T15:14:06.203538+00:00,142.66
2025-08-28T15:19:06.229082+00:00,142.51
2025-08-28T15:32:07.039875+00:00,142.17
2025-08-28T15:38:06.139562+00:00,142.05
2025-08-28T15:44:06.134449+00:00,141.76
2025-08-28T15:49:06.150773+00:00,141.61
2025-08-28T16:05:08.463732+00:00,141.83
2025-08-28T16:11:06.117683+00:00,142.05
2025-08-28T16:17:06.152829+00:00,142.21
2025-08-28T16:23:06.350009+00:00,142.26
2025-08-28T16:29:06.387466+00:00,142.28
2025-08-28T16:34:06.126790+00:00,142.01
2025-08-28T16:40:06.653897+00:00,142.20
2025-08-28T16:46:06.245071+00:00,142.06
2025-08-28T16:52:06.179216+00:00,141.88
2025-08-28T16:57:06.235433+00:00,141.64
2025-08-28T17:02:06.299084+00:00,141.27
2025-08-28T17:17:07.167750+00:00,141.17
2025-08-28T17:23:06.363535+00:00,141.37
2025-08-28T17:28:06.159743+00:00,141.48
2025-08-28T17:34:06.225287+00:00,141.29
2025-08-28T17:39:06.152935+00:00,141.47
2025-08-28T17:45:06.744909+00:00,141.63
2025-08-28T17:51:06.285611+00:00,141.52
2025-08-28T17:56:06.148000+00:00,141.46
2025-08-28T18:02:06.276097+00:00,141.62
2025-08-28T18:08:06.162004+00:00,141.47
2025-08-28T18:13:06.145916+00:00,141.40
2025-08-28T18:19:06.107437+00:00,141.52
2025-08-28T18:25:06.585478+00:00,141.67
2025-08-28T18:31:06.867423+00:00,141.94
2025-08-28T18:36:06.365156+00:00,141.85
2025-08-28T18:42:06.231118+00:00,142.01
2025-08-28T18:47:06.441673+00:00,141.78
2025-08-28T18:53:07.294640+00:00,142.18
2025-08-28T18:59:06.247354+00:00,141.99
2025-08-28T19:05:06.761093+00:00,142.12
2025-08-28T19:17:07.113139+00:00,141.99
2025-08-28T19:23:06.130829+00:00,141.92
2025-08-28T19:28:06.211791+00:00,141.98
2025-08-28T19:34:06.149774+00:00,141.90
2025-08-28T19:40:06.596797+00:00,141.86
2025-08-28T19:46:06.297978+00:00,141.67
2025-08-28T19:52:06.298794+00:00,141.57
2025-08-28T19:57:06.174954+00:00,141.55
2025-08-28T20:03:06.538126+00:00,141.72
2025-08-28T20:17:07.186264+00:00,141.87
2025-08-28T20:23:06.150667+00:00,142.08
2025-08-28T20:28:06.191186+00:00,142.01
2025-08-28T20:34:06.157981+00:00,141.97
2025-08-28T20:40:06.606955+00:00,142.10
2025-08-28T20:45:07.042991+00:00,142.25
2025-08-28T21:02:08.417327+00:00,142.30
2025-08-28T21:08:06.168243+00:00,142.42
2025-08-28T21:14:06.145694+00:00,142.35
2025-08-28T21:20:06.688777+00:00,142.30
2025-08-28T21:26:06.212093+00:00,142.15
2025-08-28T21:31:06.161239+00:00,142.06
2025-08-28T21:37:06.166177+00:00,142.12
2025-08-28T21:42:06.146013+00:00,142.06
2025-08-28T21:47:06.399233+00:00,142.23
2025-08-28T21:53:06.179752+00:00,142.34
2025-08-28T21:59:06.239150+00:00,142.37
2025-08-28T22:04:06.235774+00:00,142.47
2025-08-28T22:17:07.061919+00:00,142.55
2025-08-28T22:23:06.156072+00:00,142.75
